id,value,languageId,frequencyRank
7248,"zutrauen, traut zu, traute zu, hat zugetraut",1,3731
7249,to dare to do sth,2,
7250,abseits,1,3732
7251,"offside, off the beaten track",2,
7252,asymmetrisch,1,3733
7253,asymmetric,2,
7254,bescheiden,1,3734
7255,modest,2,
7256,"entfallen, entfällt, entfiel, ist entfallen",1,3735
7257,"to slip (sb’s mind), to be dropped",2,
7258,die FIFA,1,3736
7259,FIFA,2,
7260,"die Hemmung, -en",1,3737
7261,inhibition,2,
7262,"das Schlafzimmer, -",1,3738
7263,bedroom,2,
7264,"die Tragödie, -n",1,3739
7265,tragedy,2,
7266,"die Wunde, -n",1,3740
7267,wound,2,
7268,achtzehn,1,3741
7269,eighteen,2,
7270,das Chaos,1,3742
7271,chaos,2,
7272,"die Krone, -n",1,3743
7273,crown,2,
7274,"reiben, reibt, rieb, hat gerieben",1,3744
7275,to rub,2,
7276,"der Reporter, -",1,3745
7277,reporter,2,
7278,"der Schluck, -e",1,3746
7279,sip,2,
7280,"der Schock, -e",1,3747
7281,shock,2,
7282,"aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben",1,3748
7283,to write down,2,
7284,"reizen, reizt, reizte, hat gereizt",1,3749
7285,"to annoy, to provoke, to tempt",2,
7286,"das Attribut, -e",1,3750
7287,"adjunct, attribute",2,
7288,"aufreißen, reißt auf, riss auf, hat aufgerissen",1,3751
7289,to tear open,2,
7290,"die Diagnose, -n",1,3752
7291,diagnosis,2,
7292,"hinzukommen, kommt hinzu, kam hinzu, ist hinzugekommen",1,3753
7293,"to be added, to join",2,
7294,prinzipiell,1,3754
7295,in principle,2,
7296,"reflektieren, reflektiert, reflektierte, hat reflektiert",1,3755
7297,to reflect,2,
7298,"die Unterlage, -n",1,3756
7299,"base, pad, document",2,
7300,documents,2,
7301,"vernachlässigen, vernachlässigt, vernachlässigte, hat vernachlässigt",1,3757
7302,to neglect,2,
7303,"versinken, versinkt, versank, ist versunken",1,3758
7304,"erhitzen, erhitzt, erhitzte, hat erhitzt",1,3759
7305,to heat (up),2,
7306,"der Ersatz, -̈e",1,3760
7307,"replacement, compensation",2,
7308,die EU-Kommission,1,3761
7309,European Commission,2,
7310,hessisch,1,3762
7311,Hessian,2,
7312,passiv,1,3763
7313,passive,2,
7314,"der Rauch, -e",1,3764
7315,"smoke, fume",2,
7316,"stinken, stinkt, stank, hat gestunken",1,3765
7317,to stink,2,
7318,tschüss,1,3766
7319,"der Vorgänger, -",1,3767
7320,predecessor,2,
7321,"anstarren, starrt an, starrte an, hat angestarrt",1,3768
7322,"to gaze, to stare at",2,
7323,detailliert,1,3769
7324,"die Fremdsprache, -n",1,3770
7325,foreign language,2,
7326,"das Gepäck, -e",1,3771
7327,luggage,2,
7328,unglücklich,1,3772
7329,"unhappy, unfortunate",2,
7330,"wehen, weht, wehte, hat geweht",1,3773
7331,"to blow, to flutter",2,
7332,"ausprobieren, probiert aus, probierte aus, hat ausprobiert",1,3774
7333,to try out,2,
7334,"bewerben (sich), bewirbt, bewarb, hat beworben",1,3775
7335,to apply,2,
7336,"erhoffen, erhofft, erhoffte, hat erhofft",1,3776
7337,"to expect, to hope for",2,
7338,"die Feder, -n",1,3777
7339,feather,2,
7340,"die Feuerwehr, -en",1,3778
7341,fire brigade,2,
7342,"fixieren, fixiert, fixierte, hat fixiert",1,3779
7343,to fixate on sb/sth,2,
7344,"das Gemälde, -",1,3780
7345,painting,2,
7346,"das Heim, -e",1,3781
7347,"home, institution",2,
7348,"heranziehen, zieht heran, zog heran, hat herangezogen",1,3782
7349,"to consult, to draw near",2,
7350,"das Image, -s",1,3783
7351,image,2,
7352,"der Koch, -̈e",1,3784
7353,cook,2,
7354,"der Stadtteil, -e",1,3785
7355,"der Träger, -",1,3786
7356,"strap, holder, responsible body",2,
7357,"verschärfen, verschärft, verschärfte, hat verschärft",1,3787
7358,"to tighten, to intensify",2,
7359,"die Zunahme, -n",1,3788
7360,"annähern, nähert an, näherte an, hat angenähert",1,3789
7361,"der Baron, -e",1,3790
7362,baron,2,
7363,"das Eigentum, -e",1,3791
7364,property,2,
7365,gründlich,1,3792
7366,thorough,2,
7367,Sachsen-Anhalt,1,3793
7368,Saxony-Anhalt,2,
7369,"umsehen, sieht um, sah um, hat umgesehen",1,3794
7370,to look (around),2,
7371,via,1,3795
7372,via,2,
7373,"abziehen, zieht ab, zog ab, hat abgezogen",1,3796
7374,"to take off, to withdraw, to subtract",2,
7375,"der Befund, -e",1,3797
7376,"result, finding(s)",2,
7377,die Niederlande,1,3798
7378,the Netherlands,2,
7379,"schwanken, schwankt, schwankte, ist geschwankt",1,3799
7380,to vary,2,
7381,"der Stoß, -̈e",1,3800
7382,"push, shock",2,
7383,der Unsinn,1,3801
7384,nonsense,2,
7385,"die Wahlperiode, -n",1,3802
7386,term,2,
7387,"blockieren, blockiert, blockierte, hat blockiert",1,3803
7388,to block,2,
7389,"das Defizit, -e",1,3804
7390,deficit,2,
7391,"die Dynamik, -en",1,3805
7392,dynamics,2,
7393,nirgendwo,1,3806
7394,nowhere,2,
7395,"umarmen, umarmt, umarmte, hat umarmt",1,3807
7396,to embrace,2,
7397,die Vernunft,1,3808
7398,reason,2,
7399,"die Anregung, -en",1,3809
7400,"stimulus, idea",2,
7401,"der Code, -s",1,3810
7402,code,2,
7403,jetzig,1,3811
7404,"kommunizieren, kommuniziert, kommunizierte, hat kommuniziert",1,3812
7405,to communicate,2,
7406,"der Krebs, -e",1,3813
7407,cancer,2,
7408,"der Kühlschrank, -̈e",1,3814
7409,fridge,2,
7410,lächerlich,1,3815
7411,ridiculous,2,
7412,"die Airline, -s",1,3816
7413,airline,2,
7414,"der Akt, -e",1,3817
7415,act,2,
7416,außerordentlich,1,3818
7417,extraordinary,2,
7418,"der Empfang, -̈e",1,3819
7419,reception,2,
7420,minimal,1,3820
7421,minimal,2,
7422,"der Nacken, -",1,3821
7423,neck,2,
7424,"der Republikaner, -",1,3822
7425,Republican,2,
7426,"der Rhythmus, -en",1,3823
7427,rhythm,2,
7428,unerwartet,1,3824
7429,unexpected,2,
7430,"die Unterschrift, -en",1,3825
7431,signature,2,
7432,"anfallen, fällt an, fiel an, hat angefallen",1,3826
7433,"to attack, to accumulate",2,
7434,"der Ausfall, -̈e",1,3827
7435,"failure, breakdown",2,
7436,"beantragen, beantragt, beantragte, hat beantragt",1,3828
7437,to apply for,2,
7438,daheim,1,3829
7439,"der Offizier, -e",1,3830
7440,officer,2,
7441,"der Protagonist, -en",1,3831
7442,protagonist,2,
7443,"quälen, quält, quälte, hat gequält",1,3832
7444,to torment,2,
7445,"die Strömung, -en",1,3833
7446,"current, trend",2,
7447,"überfordern, überfordert, überforderte, hat überfordert",1,3834
7448,"to overtax, to be too much",2,
7449,"dokumentieren, dokumentiert, dokumentierte, hat dokumentiert",1,3835
7450,to document,2,
7451,"die Gliederung, -en",1,3836
7452,"structure, organization",2,
7453,"die Kartoffel, -n",1,3837
7454,potato,2,
7455,"schleichen, schleicht, schlich, ist geschlichen",1,3838
7456,"to creep, to prowl, to sneak",2,
7457,"zulegen, legt zu, legte zu, hat zugelegt",1,3839
7458,"to gain, to put on, to get",2,
7459,"der Aktionär, -e",1,3840
7460,shareholder,2,
7461,"auseinandersetzen, setzt auseinander, setzte auseinander, hat auseinandergesetzt",1,3841
7462,to deal with,2,
7463,"bestrafen, bestraft, bestrafte, hat bestraft",1,3842
7464,to punish,2,
7465,"einlegen, legt ein, legte ein, hat eingelegt",1,3843
7466,"erlernen, erlernt, erlernte, hat erlernt",1,3844
7467,"der Friedhof, -̈e",1,3845
7468,cemetery,2,
7469,materiell,1,3846
7470,"financial, material",2,
7471,"der Produzent, -en",1,3847
7472,producer,2,
7473,"die Transparenz, -en",1,3848
7474,"transparency, clarity",2,
7475,"der Asylbewerber, -",1,3849
7476,asylum seeker,2,
7477,"der Eigentümer, -",1,3850
7478,"die Fabrik, -en",1,3851
7479,factory,2,
7480,mutig,1,3852
7481,courageous,2,
7482,der Stolz,1,3853
7483,pride,2,
7484,sympathisch,1,3854
7485,sympathetic,2,
7486,"die Tafel, -n",1,3855
7487,"board, table",2,
7488,"die Transformation, -en",1,3856
7489,transformation,2,
7490,"die Uniform, -en",1,3857
7491,uniform,2,
7492,"weigern (sich), weigert, weigerte, hat geweigert",1,3858
7493,"die Akte, -n",1,3859
7494,file,2,
7495,"charakterisieren, charakterisiert, charakterisierte, hat charakterisiert",1,3860
7496,to characterize,2,
7497,"fotografieren, fotografiert, fotografierte, hat fotografiert",1,3861
7498,to photograph,2,
7499,"das Heft, -e",1,3862
7500,notebook,2,
7501,hilfreich,1,3863
7502,helpful,2,
7503,"kombinieren, kombiniert, kombinierte, hat kombiniert",1,3864
7504,to combine,2,
7505,königlich,1,3865
7506,royal,2,
7507,"das Magnetfeld, -er",1,3866
7508,magnetic field,2,
7509,"die Mode, -n",1,3867
7510,fashion,2,
7511,"die Schlagzeile, -n",1,3868
7512,"headline, caption",2,
7513,schmutzig,1,3869
7514,dirty,2,
7515,"überziehen, zieht über, zog über, hat übergezogen",1,3870
7516,"to cover, to put on, to overdraw",2,
7517,zumeist,1,3871
7518,for the most part,2,
7519,gemütlich,1,3872
7520,"comfortable, cozy",2,
7521,"der Spanier, -",1,3873
7522,Spaniard,2,
7523,"das Zeitalter, -",1,3874
7524,"age, period",2,
7525,"ausstrecken, streckt aus, streckte aus, hat ausgestreckt",1,3875
7526,to stretch (out),2,
7527,blass,1,3876
7528,pale,2,
7529,"irritieren, irritiert, irritierte, hat irritiert",1,3877
7530,"to irritate, to confuse",2,
7531,"der Jurist, -en",1,3878
7532,"jurist, lawyer",2,
7533,"die Mission, -en",1,3879
7534,mission,2,
7535,"das Mitochondrium, -en",1,3880
7536,mitochondrion,2,
7537,"das Neuron, -en",1,3881
7538,neuron,2,
7539,"die Regulation, -en",1,3882
7540,regulation,2,
7541,"der Rücktritt, -e",1,3883
7542,"resignation, withdrawal",2,
7543,"die Schätzung, -en",1,3884
7544,"estimate, estimation",2,
7545,"die Entropie, -n",1,3885
7546,entropy,2,
7547,"das Gelenk, -e",1,3886
7548,"joint, hinge",2,
7549,"der Marktanteil, -e",1,3887
7550,market share,2,
7551,"regulieren, reguliert, regulierte, hat reguliert",1,3888
7552,to regulate,2,
7553,der Rundfunk,1,3889
7554,"die Teilnahme, -n",1,3890
7555,die Thermodynamik,1,3891
7556,thermodynamics,2,
7557,LKW (Lastkraftwagen),1,3892
7558,truck,2,
7559,der Quatsch,1,3893
7560,romantisch,1,3894
7561,romantic,2,
7562,"das Substrat, -e",1,3895
7563,substrate,2,
7564,"erlangen, erlangt, erlangte, hat erlangt",1,3896
7565,"to obtain, to secure",2,
7566,"zumachen, macht zu, machte zu, hat zugemacht",1,3897
7567,"to close, to shut down",2,
7568,"ausstellen, stellt aus, stellte aus, hat ausgestellt",1,3898
7569,"to display, to issue, to make out",2,
7570,"das Becken, -",1,3899
7571,"pool, pelvis",2,
7572,"kreuzen, kreuzt, kreuzte, hat gekreuzt",1,3900
7573,to cross,2,
7574,zart,1,3901
7575,tender,2,
7576,"der Zwang, -̈e",1,3902
7577,"force, pressure, compulsion",2,
7578,"der Engländer, -",1,3903
7579,"Englishman, English",2,
7580,"die Münze, -n",1,3904
7581,coin,2,
7582,"die Nachrichtenagentur, -en",1,3905
7583,news agency,2,
7584,seitlich,1,3906
7585,"laterally, at/to the side",2,
7586,"das Abendessen, -",1,3907
7587,dinner,2,
7588,"der Beobachter, -",1,3908
7589,observer,2,
7590,"der Durchmesser, -",1,3909
7591,diameter,2,
7592,"die Oper, -n",1,3910
7593,opera,2,
7594,satt,1,3911
7595,"full, fed up",2,
7596,SPÖ (Sozialdemokratische Partei Österreichs),1,3912
7597,Social Democratic Party of Austria,2,
7598,symbolisch,1,3913
7599,symbolic,2,
7600,"das T-Shirt, -s",1,3914
7601,T-shirt,2,
7602,"die Zerstörung, -en",1,3915
7603,destruction,2,
7604,"gestehen, gesteht, gestand, hat gestanden",1,3916
7605,to confess,2,
7606,"die Kerze, -n",1,3917
7607,candle,2,
7608,"die Konferenz, -en",1,3918
7609,conference,2,
7610,ländlich,1,3919
7611,rural,2,
7612,"das Stadium, -en",1,3920
7613,"stage, phase",2,
7614,das Unrecht,1,3921
7615,"injustice, wrong",2,
7616,"die Versicherung, -en",1,3922
7617,"insurance, assurance",2,
7618,"die Wurst, -̈e",1,3923
7619,sausage,2,
7620,anspruchsvoll,1,3924
7621,sophisticated,2,
7622,"das Bedenken, -",1,3925
7623,"concern, doubt",2,
7624,"der Cent, -",1,3926
7625,cent,2,
7626,"ermorden, ermordet, ermordete, hat ermordet",1,3927
7627,"to murder, to kill",2,
7628,geometrisch,1,3928
7629,geometric,2,
7630,Geschwister,1,3929
7631,siblings,2,
7632,"kleiden, kleidet, kleidete, hat gekleidet",1,3930
7633,to dress,2,
7634,"ragen, ragt, ragte, hat geragt",1,3931
7635,to protrude,2,
7636,"der Staub, -̈e",1,3932
7637,dust,2,
7638,unwahrscheinlich,1,3933
7639,"improbable, unlikely",2,
7640,au,1,3934
7641,"aufgreifen, greift auf, griff auf, hat aufgegriffen",1,3935
7642,to take up,2,
7643,"beauftragen, beauftragt, beauftragte, hat beauftragt",1,3936
7644,"to give sb the task of doing sth, to hire (a firm)",2,
7645,"der Brand, -̈e",1,3937
7646,"eindringen, dringt ein, drang ein, ist eingedrungen",1,3938
7647,"to enter, to penetrate",2,
7648,"die Erfüllung, -en",1,3939
7649,fulfillment,2,
7650,"das Examen, -ia",1,3940
7651,"der Kristall, -e",1,3941
7652,crystal,2,
7653,partiell,1,3942
7654,partial,2,
7655,"die Schale, -n",1,3943
7656,bowl,2,
7657,"scheißen, scheißt, schiss, hat geschissen",1,3944
7658,"to shit, to crap",2,
7659,"der Schiedsrichter, -",1,3945
7660,"referee, judge (in sports)",2,
7661,"der Tanz, -̈e",1,3946
7662,dance,2,
7663,"tippen, tippt, tippte, hat getippt",1,3947
7664,"to tap, to type",2,
7665,"das Universum, -en",1,3948
7666,universe,2,
7667,"vernetzen, vernetzt, vernetzte, hat vernetzt",1,3949
7668,"to link, to network",2,
7669,vierzehn,1,3950
7670,fourteen,2,
7671,"weitermachen, macht weiter, machte weiter, hat weitergemacht",1,3951
7672,"to carry on, to continue",2,
7673,"abhauen, haut ab, hieb ab, hat abgehauen",1,3952
7674,"to take off, to run away",2,
7675,"die Ablehnung, -en",1,3953
7676,"refusal, rejection",2,
7677,die Abwehr,1,3954
7678,defense,2,
7679,"der Arsch, -Äe",1,3955
7680,"ass, behind",2,
7681,"auskennen, kennt aus, kannte aus, hat ausgekannt",1,3956
7682,"to know one’s way around, to be well informed",2,
7683,"die Globalisierung, -en",1,3957
7684,globalization,2,
7685,"die Kampagne, -n",1,3958
7686,campaign,2,
7687,"klauen, klaut, klaute, hat geklaut",1,3959
7688,"to steal, to shoplift",2,
7689,"das Rathaus, -̈er",1,3960
7690,town hall,2,
7691,schwul,1,3961
7692,gay,2,
7693,"ablenken, lenkt ab, lenkte ab, hat abgelenkt",1,3962
7694,"to distract, to deflect",2,
7695,bemerkenswert,1,3963
7696,remarkable,2,
7697,"das Camp, -s",1,3964
7698,camp,2,
7699,"der Daumen, -",1,3965
7700,thumb,2,
7701,einseitig,1,3966
7702,one-sided,2,
7703,"lauschen, lauscht, lauschte, hat gelauscht",1,3967
7704,"to listen, to eavesdrop",2,
7705,"nachvollziehen, vollzieht nach, vollzog nach, hat nachvollzogen",1,3968
7706,"to understand, to relate to sth",2,
7707,Nordrhein-Westfalen,1,3969
7708,North Rhine-Westphalia,2,
7709,der Verstand,1,3970
7710,zugunsten,1,3971
7711,in favor of,2,
7712,"anmerken, merkt an, merkte an, hat angemerkt",1,3972
7713,"to remark, to notice, to let show",2,
7714,"bewähren (sich), bewährt, bewährte, hat bewährt",1,3973
7715,to prove (oneself),2,
7716,bundesweit,1,3974
7717,nationwide,2,
7718,"durchziehen, zieht durch, zog durch, hat durchgezogen",1,3975
7719,"to see sth through, to follow through",2,
7720,"erholen (sich), erholt, erholte, hat erholt",1,3976
7721,"to recover, to relax",2,
7722,der Kohlenstoff,1,3977
7723,carbon,2,
7724,"die Quote, -n",1,3978
7725,"rate, quota, ratio",2,
7726,"die Vorlage, -n",1,3979
7727,"draft, model, submission",2,
7728,"das Vorzeichen, -",1,3980
7729,"sign, omen",2,
7730,"der Zugriff, -e",1,3981
7731,aromatisch,1,3982
7732,aromatic,2,
7733,"der Grenzwert, -e",1,3983
7734,"threshold, limit",2,
7735,"die Großstadt, -̈e",1,3984
7736,"large city, metropolis",2,
7737,"hervorheben, hebt hervor, hob hervor, hat hervorgehoben",1,3985
7738,"to emphasize, to stress",2,
7739,"das Lokal, -e",1,3986
7740,"die Mitternacht, -̈e",1,3987
7741,midnight,2,
7742,thermisch,1,3988
7743,thermal,2,
7744,"vermindern, vermindert, verminderte, hat vermindert",1,3989
7745,verwandt,1,3990
7746,related,2,
7747,"die Beschleunigung, -en",1,3991
7748,acceleration,2,
7749,"der Bundespräsident, -en",1,3992
7750,Federal President,2,
7751,"die Erfindung, -en",1,3993
7752,invention,2,
7753,"die Fliege, -n",1,3994
7754,fly,2,
7755,"das Immunsystem, -e",1,3995
7756,immune system,2,
7757,"platzen, platzt, platzte, ist geplatzt",1,3996
7758,"to burst, to split",2,
7759,"die Pressekonferenz, -en",1,3997
7760,press conference,2,
7761,"servieren, serviert, servierte, hat serviert",1,3998
7762,"der Sessel, -",1,3999
7763,armchair,2,
7764,"der Strahl, -en",1,4000
7765,"ray, beam",2,
7766,die Anwesenheit,1,4001
7767,presence,2,
7768,"der Bube, -n",1,4002
7769,"die Geldpolitik, -en",1,4003
7770,financial policy,2,
7771,gewissermaßen,1,4004
7772,"so to speak, as it were",2,
7773,"der Ingenieur, -e",1,4005
7774,engineer,2,
7775,"das Manuskript, -e",1,4006
7776,manuscript,2,
7777,die Nacherfüllung,1,4007
7778,supplementary performance,2,
7779,sachlich,1,4008
7780,"objective, matter-of-fact",2,
7781,"der Ausschuss, -̈e",1,4009
7782,committee,2,
7783,"der Mitgliedstaat, -en",1,4010
7784,member state,2,
7785,"die Spaltung, -en",1,4011
7786,"split, splitting",2,
7787,"das Antibiotikum, die Antibiotika",1,4012
7788,antibiotic,2,
7789,"anweisen, weist an, wies an, hat angewiesen",1,4013
7790,"to order to do, to instruct, to direct",2,
7791,"der Ausflug, -̈e",1,4014
7792,"excursion, trip",2,
7793,außergewöhnlich,1,4015
7794,"unusual, extraordinary",2,
7795,"die Baustelle, -n",1,4016
7796,"building site, construction site",2,
7797,"der Index, -izes",1,4017
7798,index,2,
7799,"der Kasten, -̈",1,4018
7800,Kölner,1,4019
7801,Cologne,2,
7802,"der Pariser, -",1,4020
7803,"Parisian, condom",2,
7804,"schimpfen, schimpft, schimpfte, hat geschimpft",1,4021
7805,"to scold, to rant",2,
7806,"die Sicherung, -en",1,4022
7807,"protection, fuse",2,
7808,"die Steigung, -en",1,4023
7809,"ascent, slope",2,
7810,"wegnehmen, nimmt weg, nahm weg, hat weggenommen",1,4024
7811,to take away,2,
7812,worum,1,4025
7813,what about,2,
7814,"der Balkon, -s",1,4026
7815,balcony,2,
7816,bar,1,4027
7817,cash,2,
7818,das Business,1,4028
7819,business,2,
7820,"das Duell, -e",1,4029
7821,duel,2,
7822,"erfreuen, erfreut, erfreute, hat erfreut",1,4030
7823,"to please, to delight",2,
7824,"erschließen, erschließt, erschloss, hat erschlossen",1,4031
7825,"to develop, to tap, to make out",2,
7826,"das Gewehr, -e",1,4032
7827,"rifle, shotgun",2,
7828,das Mittelmeer,1,4033
7829,Mediterranean See,2,
7830,"das Tuch, -̈er",1,4034
7831,"cloth, scarf",2,
7832,"vereinfachen, vereinfacht, vereinfachte, hat vereinfacht",1,4035
7833,to simplify,2,
7834,"die Wende, -n",1,4036
7835,change (esp. the 1989–90 political change in the GDR),2,
7836,"die Agentur, -en",1,4037
7837,agency,2,
7838,"das Bündnis, -se",1,4038
7839,alliance,2,
7840,flüchtig,1,4039
7841,"fugitive, cursory, fleeting",2,
7842,"die Geographie, -n",1,4040
7843,geography,2,
7844,"das Lebewesen, -",1,4041
7845,living being,2,
7846,"der Ozean, -e",1,4042
7847,ocean,2,
7848,Pakistan,1,4043
7849,Pakistan,2,
7850,Rheinland-Pfalz,1,4044
7851,Rhineland-Palatinate,2,
7852,"der Sektor, -en",1,4045
7853,sector,2,
7854,umsonst,1,4046
7855,"for free, in vain",2,
7856,verdächtig,1,4047
7857,suspicious,2,
7858,zuverlässig,1,4048
7859,reliable,2,
7860,"abheben, hebt ab, hob ab, hat abgehoben",1,4049
7861,"to take off, to withdraw",2,
7862,alltäglich,1,4050
7863,"daily, usual, ordinary",2,
7864,"anbringen, bringt an, brachte an, hat angebracht",1,4051
7865,"to affix, to attach, to put up",2,
7866,"entgehen, entgeht, entging, ist entgangen",1,4052
7867,"to avoid, to escape",2,
7868,"die Fortsetzung, -en",1,4053
7869,continuation,2,
7870,lauter,1,4054
7871,"nothing but, just, a lot of",2,
7872,"der Mediziner, -",1,4055
7873,"doctor, physician",2,
7874,"der Tunnel, -",1,4056
7875,tunnel,2,
7876,"der Assistent, -en",1,4057
7877,assistant,2,
7878,"die Differenzierung, -en",1,4058
7879,differentiation,2,
7880,drastisch,1,4059
7881,drastic,2,
7882,gleichmäßig,1,4060
7883,"regular, even",2,
7884,"hinnehmen, nimmt hin, nahm hin, hat hingenommen",1,4061
7885,Mexiko,1,4062
7886,Mexico,2,
7887,die Moderne,1,4063
7888,"modern age, modernism",2,
7889,molekular,1,4064
7890,molecular,2,
7891,"die Nachbarschaft, -en",1,4065
7892,neighborhood,2,
7893,"der Siedepunkt, -e",1,4066
7894,boiling point,2,
7895,stationär,1,4067
7896,"inpatient, fixed, stationary",2,
7897,Taliban,1,4068
7898,Taliban,2,
7899,brutal,1,4069
7900,brutal,2,
7901,ehrenamtlich,1,4070
7902,"honorary, voluntary",2,
7903,großzügig,1,4071
7904,generous,2,
7905,"die Redaktion, -en",1,4072
7906,"editorial work, editorial staff",2,
7907,"der Schweiß, -e",1,4073
7908,sweat,2,
7909,"der Spruch, -̈e",1,4074
7910,"saying, slogan",2,
7911,strikt,1,4075
7912,"die Befragung, -en",1,4076
7913,"questioning, survey, interview",2,
7914,Einzige,1,4077
7915,"die Eizelle, -n",1,4078
7916,"ovum, egg cell",2,
7917,fit,1,4079
7918,fit,2,
7919,die Flüchtlingspolitik,1,4080
7920,refugee policy,2,
7921,"der Haufen, -",1,4081
7922,"heap, pile, load",2,
7923,"die Infektion, -en",1,4082
7924,infection,2,
7925,"der Keks, -",1,4083
7926,cookie,2,
7927,"die Sorte, -n",1,4084
7928,"kind, variety",2,
7929,zueinander,1,4085
7930,(to) one another,2,
7931,"der Container, -",1,4086
7932,container,2,
7933,gelassen,1,4087
7934,"calm, composed",2,
7935,live,1,4088
7936,live,2,
7937,"die Mutation, -en",1,4089
7938,mutation,2,
7939,sozialistisch,1,4090
7940,socialist,2,
7941,"überstehen, übersteht, überstand, hat überstanden",1,4091
7942,"to overcome, to survive",2,
7943,"die Vermutung, -en",1,4092
7944,"assumption, presumption",2,
7945,"aufspringen, springt auf, sprang auf, ist aufgesprungen",1,4093
7946,"to jump up/on, to burst open",2,
7947,"der Käse, -",1,4094
7948,cheese,2,
7949,"losgehen, geht los, ging los, ist losgegangen",1,4095
7950,"to go off, to start",2,
7951,"das Maul, -̈er",1,4096
7952,"mouth, jaws",2,
7953,"protestieren, protestiert, protestierte, hat protestiert",1,4097
7954,to protest,2,
7955,"schämen (sich), schämt, schämte, hat geschämt",1,4098
7956,to be ashamed,2,
7957,Alpen,1,4099
7958,Alps,2,
7959,"die Berufung, -en",1,4100
7960,"appeal, vocation, appointment",2,
7961,"die Einteilung, -en",1,4101
7962,"classification, division",2,
7963,"der Eintritt, -e",1,4102
7964,"entry, admission",2,
7965,die Geliebte,1,4103
7966,"das Gramm, -e",1,4104
7967,gram,2,
7968,"die Hüfte, -n",1,4105
7969,hip,2,
7970,neulich,1,4106
7971,"recently, the other day",2,
7972,regelrecht,1,4107
7973,"proper, real",2,
7974,"verankern, verankert, verankerte, hat verankert",1,4108
7975,"to anchor, to enshrine",2,
7976,"der Zähler, -",1,4109
7977,"counter, meter, numerator",2,
7978,"befriedigen, befriedigt, befriedigte, hat befriedigt",1,4110
7979,to satisfy,2,
7980,"beseitigen, beseitigt, beseitigte, hat beseitigt",1,4111
7981,"to eliminate, to clear",2,
7982,"der Gründer, -",1,4112
7983,founder,2,
7984,"das Orchester, -",1,4113
7985,orchestra,2,
7986,regulär,1,4114
7987,"regular, normal",2,
7988,"der Türke, -n",1,4115
7989,Turk,2,
7990,ukrainisch,1,4116
7991,Ukrainian,2,
7992,"unterdrücken, unterdrückt, unterdrückte, hat unterdrückt",1,4117
7993,to suppress,2,
7994,"unterteilen, unterteilt, unterteilte, hat unterteilt",1,4118
7995,"to divide, to subdivide, to partition",2,
7996,"verziehen, verzieht, verzog, hat verzogen",1,4119
7997,"to distort, to twist",2,
7998,"die Bestellung, -en",1,4120
7999,"order, reservation",2,
8000,einschließlich,1,4121
8001,"das Glied, -er",1,4122
8002,"limb, joint, link",2,
8003,"die Migration, -en",1,4123
8004,migration,2,
8005,"der Roboter, -",1,4124
8006,robot,2,
8007,"die Bitte, -n",1,4125
8008,"die Blüte, -n",1,4126
8009,blossom,2,
8010,elektromagnetisch,1,4127
8011,electromagnetic,2,
8012,inmitten,1,4128
8013,in the middle/midst of,2,
8014,abschließend,1,4129
8015,"concluding, final",2,
8016,"aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen",1,4130
8017,"to open, to serve, to pitch",2,
8018,"die Glocke, -n",1,4131
8019,bell,2,
8020,die Informatik,1,4132
8021,computer science,2,
8022,"der Niederschlag, -̈e",1,4133
8023,"precipitation, rainfall",2,
8024,örtlich,1,4134
8025,"streifen, streift, streifte, hat gestreift",1,4135
8026,"to touch, to brush",2,
8027,"der Topf, -̈e",1,4136
8028,pot,2,
8029,"die Enttäuschung, -en",1,4137
8030,disappointment,2,
8031,"ernähren, ernährt, ernährte, hat ernährt",1,4138
8032,"to feed, to nourish, to support",2,
8033,prominent,1,4139
8034,prominent,2,
8035,die Sowjetunion,1,4140
8036,Soviet Union,2,
8037,afrikanisch,1,4141
8038,African,2,
8039,"die Beschränkung, -en",1,4142
8040,"die Genehmigung, -en",1,4143
8041,"approval, permit, permission",2,
8042,"die Lampe, -n",1,4144
8043,lamp,2,
8044,"die Moral, -en",1,4145
8045,philosophisch,1,4146
8046,philosophical,2,
8047,"verständigen (sich), verständigt, verständigte, hat verständigt",1,4147
8048,"to notify, to communicate",2,
8049,"die Willenserklärung, -en",1,4148
8050,declaration of intent,2,
8051,"zweifeln, zweifelt, zweifelte, hat gezweifelt",1,4149
8052,to doubt,2,
8053,"andauern, dauert an, dauerte an, hat angedauert",1,4150
8054,"to continue, to last",2,
8055,"aufrichten (sich), richtet auf, richtete auf, hat aufgerichtet",1,4151
8056,"to put up (right), to straighten up",2,
8057,"auslaufen, läuft aus, lief aus, ist ausgelaufen",1,4152
8058,"to run out, to leak",2,
8059,einverstanden,1,4153
8060,(to be) in agreement,2,
8061,fachlich,1,4154
8062,"specialist, technical, professional",2,
8063,"das Märchen, -",1,4155
8064,fairy tale,2,
8065,"das Regime, -",1,4156
8066,regime,2,
8067,"der Schädel, -",1,4157
8068,"skull, head",2,
8069,"spezialisieren, spezialisiert, spezialisierte, hat spezialisiert",1,4158
8070,to specialize,2,
8071,"variieren, variiert, variierte, hat variiert",1,4159
8072,"der Löwe, -n",1,4160
8073,lion,2,
8074,"der Operator, -en",1,4161
8075,operator,2,
